Feature,Importance
Close_SMA20_Ratio,0.0997758887651676
Return_10,0.08832489105268987
RSI_14,0.07067394962716883
Return_5,0.05910599241444674
Return_1,0.055883647722801244
Return_2,0.055301996867517675
Close_SMA10_Ratio,0.05439687539475363
Volatility_10,0.04978806257234641
Return_3,0.04948708315013002
Volatility_5,0.04391365535502699
Volume,0.03225509115958525
Volatility_20,0.027078540534662715
High_Low_Range,0.025814848608241677
MACD,0.024533223544511235
Volume_Change,0.02357680565747819
Open_Close_Range,0.02162952433188123
MACD_Signal,0.02142956070689313
Volume_Ratio,0.021361269985111786
SMA_20,0.01666036454064093
SMA_50,0.016098087155554386
Close_Lag_2,0.014893584740933314
Close,0.014216873199298463
EMA_10,0.013496272149937857
Low,0.013335099987399101
SMA_10,0.012523578853085018
Close_Lag_3,0.012439057858132175
Close_Lag_5,0.011807916288910324
Close_Lag_1,0.011445280524759748
EMA_20,0.010013890063927803
SMA_5,0.009752835228952138
High,0.009647709141588839
Open,0.009338542816465694
